"Reference,""Qty"",""Value"",""DNP"",""Exclude from BOM"",""Exclude from Board"",""Footprint"",""Datasheet"",""Purchase"",""LCSC"""
"C1,C2,C3,""3"",""100 nF"","""",""Excluded from BOM"",""Excluded from board"",""Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",""~"","""",""C49678"""
"D1,""1"",""BAT43W-V"","""",""Excluded from BOM"",""Excluded from board"",""Diode_SMD:D_SOD-123"",""http://www.vishay.com/docs/85660/bat42.pdf"","""",""C188548"""
"INA1,""1"",""INA199xxDCK"","""","""","""",""Package_TO_SOT_SMD:SOT-363_SC-70-6"",""http://www.ti.com/lit/ds/symlink/ina199.pdf"","""",""C59135"""
"J1,""1"",""Conn_01x05_Pin"","""",""Excluded from BOM"",""Excluded from board"",""Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Horizontal"",""~"","""",""C2883689"""
"MCU1,""1"",""STM32L431KCUx"","""","""","""",""Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm"",""https://www.st.com/resource/en/datasheet/stm32l431kc.pdf"","""",""C1341298"""
"Q1,""1"",""2N7002"","""","""","""",""Package_TO_SOT_SMD:SOT-23"",""https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF"","""",""C332103"""
"R1,""1"",""0.05 Ohm"","""","""","""",""Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",""~"","""",""C49164908"""
"R2,""1"",""1K Ohm"","""",""Excluded from BOM"",""Excluded from board"",""Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",""~"","""",""C2889523"""
"R3,""1"",""10K Ohm"","""",""Excluded from BOM"",""Excluded from board"",""Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",""~"","""",""C17414"""
"T1,""1"",""V_In (3,3V)"","""",""Excluded from BOM"",""Excluded from board"",""TestPoint:TestPoint_Pad_3.0x3.0mm"",""~"","""","""""
"T2,""1"",""V_Out"","""",""Excluded from BOM"",""Excluded from board"",""TestPoint:TestPoint_Pad_3.0x3.0mm"",""~"","""","""""
"T3,""1"",""GND"","""",""Excluded from BOM"",""Excluded from board"",""TestPoint:TestPoint_Pad_3.0x3.0mm"",""~"","""","""""
"T4,""1"",""UART"","""",""Excluded from BOM"",""Excluded from board"",""TestPoint:TestPoint_Pad_3.0x3.0mm"",""~"","""","""""
