Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100 nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",152.462500,-111.500000,0.000000,top
"C2","100 nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",156.462500,-116.000000,180.000000,top
"C3","100 nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",160.506500,-112.522000,180.000000,top
"D1","BAT43W-V","D_SOD-123",172.594000,-117.094000,180.000000,top
"INA1","INA199xxDCK","SOT-363_SC-70-6",156.550000,-108.450000,180.000000,top
"J1","Conn_01x05_Pin","PinHeader_1x05_P2.54mm_Horizontal",167.960000,-110.500000,90.000000,top
"MCU1","STM32L431KCUx","QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm",166.000000,-118.400000,0.000000,top
"Q1","2N7002","SOT-23",172.641500,-120.150000,0.000000,top
"R1","50 mOhm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",152.500000,-108.000000,180.000000,top
"R2","1K Ohm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",156.500000,-112.500000,0.000000,top
"R3","10K Ohm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",160.544000,-108.966000,180.000000,top
